Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total,Avg,RushPercent,TgtPercent,SnapPercent,YPC,SnapPerRoute,YPRR,TgtPerRoute,CatchPerc,RecTDPerc,RushTdPerc,DKSalary,FDSalary
Ricky Seals-Jones,TE,ARI,49,44,42,39,34,39,29,48,bye,46,21,19,22,44,55,5,0,536,35.7,0,13,61,3.75,0.68,1.5,0.18,0.52,0.07,0,,
Cameron Brate,TE,TB,24,14,31,37,bye,22,39,26,27,19,20,51,44,46,41,57,36,534,33.4,0,9,48,3.75,0.69,1.5,0.13,0.63,0.17,0,,
James O'Shaughnessy,TE,JAC,26,13,12,34,36,36,0,0,bye,52,56,57,39,54,41,42,35,533,38.1,0,7,59,3.75,0.52,1.5,0.13,0.69,0,0,,
Nick Vannett,TE,SEA,35,26,35,54,50,0,bye,31,48,41,42,24,25,29,20,33,36,529,35.3,0,8,53,3.75,0.41,1.5,0.18,0.73,0.09,0,,
Jarius Wright,WR,CAR,31,44,26,bye,30,37,32,17,22,29,41,27,39,38,36,57,22,528,33,0,11,50,19.5,0.73,1.5,0.15,0.75,0.04,0,,
Levine Toilolo,TE,SF,20,22,37,19,32,0,21,14,16,38,42,28,54,48,40,46,50,527,32.9,0,5,49,3.75,0.34,1.5,0.13,0.88,0.04,0,,
Zach Pascal,WR,IND,10,18,6,45,64,61,41,28,bye,15,24,11,42,35,49,35,43,527,32.9,0,9,46,5,0.5,1.5,0.17,0.61,0.05,0,,
Quincy Enunwa,WR,NYJ,40,52,53,53,48,15,0,0,48,54,bye,60,59,44,0,0,0,526,47.8,0,13,77,3.75,0.61,1.5,0.19,0.61,0.06,0,,
James Washington,WR,PIT,11,66,40,47,35,16,bye,0,70,46,35,18,0,22,44,27,49,526,37.6,0,7,54,3.75,0.72,1.5,0.09,0.44,0.03,0,,
Ian Thomas,TE,CAR,37,63,52,bye,49,1,0,8,2,9,2,2,53,61,54,76,56,525,32.8,0,9,52,3.75,0.6,1.5,0.15,0.77,0.07,0,,
Melvin Gordon,RB,LAC,62,36,40,49,45,38,0,bye,45,45,64,26,0,0,0,42,32,524,43.7,33,13,69,5.06,0.46,2.03,0.25,0.82,0.13,0.63,,
Dallas Goedert,TE,PHI,17,17,55,32,34,32,37,30,bye,17,16,36,39,31,39,48,44,524,32.8,0,8,48,3.75,0.44,1.5,0.19,0.77,0.13,0,,
Jamaal Williams,RB,GB,37,47,30,28,33,27,bye,13,31,14,4,13,38,24,59,86,39,523,32.7,23,8,49,3.83,0.52,1.5,0.12,0.82,0,0.21,,
Nick Mullens,QB,SF,0,0,0,0,0,0,0,0,55,73,bye,64,76,72,62,55,62,519,64.9,3,0,100,3.75,0,1.5,0,0,0,0,,
Geoff Swaim,TE,JAC,58,50,55,64,59,66,47,0,bye,56,57,0,0,0,0,0,0,512,56.9,0,6,88,3.75,0.48,1.5,0.12,0.87,0.07,0,,
Jordan Reed,TE,WAS,41,40,40,bye,39,47,41,53,37,38,50,47,31,7,0,0,0,511,39.3,0,16,60,3.75,0.67,1.63,0.23,0.69,0.13,0,,
T.J. Yeldon,RB,BUF,39,41,38,48,77,31,56,37,0,27,23,24,35,12,19,0,0,507,36.2,21,15,55,3.98,0.61,1.57,0.23,0.79,0.29,0.17,,
Benjamin Watson,TE,NE,51,54,45,37,36,0,36,14,33,29,21,18,20,28,32,25,27,506,31.6,0,9,48,3.75,0.49,1.57,0.17,0.79,0.07,0,,
Charles Clay,TE,ARI,40,43,40,43,49,44,39,41,8,0,0,0,45,42,41,0,29,504,38.8,0,7,58,3.75,0.47,1.5,0.13,0.66,0,0,,
Kareem Hunt,RB,CLE,40,40,46,45,52,31,46,49,49,43,62,0,0,0,0,0,0,503,45.7,36,7,71,4.55,0.5,1.5,0.13,0.79,0.25,0.78,,
Nyheim Hines,RB,IND,37,25,43,62,56,30,17,28,bye,20,16,26,45,28,29,23,14,499,31.2,17,16,44,3.68,0.69,1.5,0.23,0.81,0.05,0.15,,
Tarik Cohen,RB,CHI,28,21,30,29,bye,34,42,38,28,31,30,22,42,30,38,33,19,495,30.9,20,18,46,4.48,0.62,2.36,0.28,0.82,0.19,0.23,,
LeSean McCoy,RB,BUF,34,30,0,36,47,47,2,46,37,49,bye,37,54,9,0,31,31,490,35,33,9,53,3.19,0.46,1.5,0.18,0.83,0,0.5,,
Dalvin Cook,RB,MIN,57,50,0,18,0,0,0,0,28,bye,59,41,47,49,42,46,53,490,44.5,27,10,69,4.62,0.5,1.5,0.2,0.83,0.07,0.25,,
Rashard Higgins,WR,CLE,53,46,54,53,31,0,0,0,29,22,bye,20,33,26,30,43,43,483,37.2,0,11,55,3.75,0.66,1.8,0.16,0.76,0.14,0,,
Adrian Peterson,RB,WAS,42,25,32,bye,13,37,34,41,32,34,42,27,16,19,37,39,11,481,30.1,52,5,47,4.15,0.33,1.5,0.16,0.8,0.07,1,,
Luke Stocker,TE,ATL,25,36,32,25,32,20,30,bye,34,34,18,25,25,39,46,38,20,479,29.9,0,4,49,3.75,0.23,1.5,0.19,0.71,0.06,0,,
Evan Engram,TE,NYG,64,60,13,0,0,0,52,62,bye,36,17,0,0,33,45,42,51,475,43.2,1,13,67,12,0.66,1.83,0.2,0.71,0.13,0,,
DaeSean Hamilton,WR,DEN,14,12,15,6,32,18,4,0,0,bye,14,29,47,72,72,63,73,471,33.6,0,10,50,3.75,0.59,1.5,0.16,0.67,0.13,0,,
Jordan Thomas,TE,HOU,14,24,15,27,29,21,55,54,39,bye,34,33,40,33,24,15,13,470,29.4,0,6,43,3.75,0.34,1.5,0.15,0.87,0.14,0,,
Chris Moore,WR,BAL,19,26,22,33,23,39,30,38,24,bye,28,25,51,23,26,27,33,467,29.2,1,5,39,3.4,0.44,1.5,0.12,0.76,0.06,0,,
Randall Cobb,WR,DAL,52,71,65,0,0,0,0,24,56,0,0,0,61,44,47,0,46,466,51.8,0,13,78,3.75,0.73,1.5,0.17,0.67,0.09,0,,
Curtis Samuel,WR,CAR,0,0,0,bye,12,3,19,26,17,19,16,54,58,69,55,78,40,466,35.8,2,14,54,10.5,0.64,1.66,0.21,0.63,0.19,0.17,,
Maurice Harris,WR,NE,0,0,9,0,49,44,36,56,60,38,41,36,28,35,30,0,0,462,38.5,0,10,61,5,0.62,1.5,0.15,0.64,0,0,,
Latavius Murray,RB,NO,14,23,38,41,46,58,58,61,22,0,6,28,12,8,27,15,4,461,28.8,30,6,44,4.13,0.48,1.5,0.11,0.88,0,0.3,,
TJ Jones,WR,NYG,17,16,12,11,9,0,8,0,36,50,45,45,50,32,36,52,42,461,30.7,0,6,45,3.75,0.7,1.5,0.08,0.76,0.09,0,,
Alfred Blue,RB,JAC,10,17,16,40,79,25,27,29,22,0,18,26,36,22,41,34,19,461,28.8,33,6,42,3.33,0.45,1.5,0.12,0.83,0,0.18,,
Sammy Watkins,WR,KC,51,47,67,12,60,54,60,55,48,0,5,bye,0,0,0,0,0,459,45.9,1,12,70,10.4,0.62,1.81,0.19,0.75,0.06,0,,
Duke Johnson,RB,HOU,41,23,29,29,41,35,35,23,35,17,0,18,20,18,26,32,37,459,28.7,9,14,42,5.03,0.65,1.5,0.2,0.77,0.11,0,,
A.J. Green,WR,CIN,53,69,33,69,51,57,46,62,bye,0,0,0,17,0,0,0,0,457,50.8,0,17,79,3.75,0.63,2.39,0.27,0.6,0.22,0,,
Chris Carson,RB,SEA,25,19,51,0,35,27,bye,42,10,0,30,32,34,35,39,43,32,454,32.4,54,5,49,4.66,0.3,1.5,0.16,0.91,0,0.6,,
DeSean Jackson,WR,PHI,20,34,43,39,0,34,43,46,32,44,53,36,0,0,0,29,0,453,37.8,1,16,52,4.83,0.75,2.27,0.21,0.57,0.13,0.08,,
Phillip Lindsay,RB,DEN,26,28,11,24,29,20,35,41,38,bye,32,36,25,48,39,21,0,453,30.2,42,10,45,5.4,0.41,1.5,0.24,0.8,0.06,0.56,,
Allen Hurns,WR,MIA,38,27,39,47,38,57,54,0,18,15,8,32,16,27,22,4,10,452,28.3,0,8,42,3.75,0.56,1.5,0.13,0.61,0.08,0,,
Dante Pettis,WR,SF,48,56,25,0,0,0,0,7,11,41,bye,58,71,61,57,17,0,452,37.7,0,10,63,3.75,0.58,1.79,0.15,0.68,0.19,0,,
Robert Foster,WR,BUF,16,29,22,23,8,2,0,0,0,33,bye,34,36,73,57,59,58,450,34.6,0,10,53,3.75,0.58,2.06,0.17,0.61,0.21,0,,
Vernon Davis,TE,WAS,47,27,37,bye,26,36,27,33,32,27,28,26,23,49,30,0,0,448,32,0,8,49,3.75,0.44,1.86,0.18,0.71,0.13,0,,
Marlon Mack,RB,IND,0,18,0,0,0,24,37,49,bye,34,38,36,29,40,44,43,53,445,37.1,44,6,54,4.66,0.38,1.5,0.14,0.71,0.03,0.69,,
Taywan Taylor,WR,TEN,9,24,32,45,25,33,49,bye,18,0,0,0,29,41,54,44,41,444,34.2,0,13,55,3.75,0.56,1.87,0.22,0.67,0.07,0,,
Cooper Kupp,WR,LAR,61,72,75,53,36,28,0,0,60,54,0,bye,0,0,0,0,0,439,54.9,1,13,83,6.25,0.57,2.26,0.2,0.82,0.18,0,,
Marquise Goodwin,WR,SF,17,0,42,37,0,54,55,61,40,61,bye,0,0,24,7,38,0,436,39.6,1,10,63,3.75,0.57,1.59,0.16,0.56,0.15,0,,
O.J. Howard,TE,TB,43,46,49,15,bye,34,63,53,37,45,51,0,0,0,0,0,0,436,43.6,0,11,61,3.75,0.58,2.24,0.19,0.72,0.14,0,,
Chad Williams,WR,ARI,50,34,43,51,41,39,45,47,bye,0,0,0,0,0,0,29,51,430,43,0,11,76,9,0.66,1.5,0.15,0.4,0.07,0,,
Greg Olsen,TE,CAR,16,0,0,bye,0,59,59,63,60,45,56,58,13,0,0,0,0,429,47.7,0,9,77,3.75,0.57,1.5,0.16,0.69,0.15,0,,
Ryan Fitzpatrick,QB,MIA,66,58,74,28,0,0,0,25,67,69,41,0,0,0,0,0,0,428,53.5,8,0,77,5.03,0.7,1.5,0.2,0.77,0.12,0,,
Jamison Crowder,WR,NYJ,49,69,37,0,52,0,0,0,0,0,bye,0,29,54,42,54,42,428,47.6,1,12,77,7.5,0.62,1.5,0.17,0.66,0.13,0,,
Luke Willson,TE,OAK,14,40,39,25,34,0,41,36,34,0,33,20,50,21,24,13,0,424,30.3,0,4,46,3.75,0.46,1.5,0.1,0.68,0,0,,
Darren Fells,TE,HOU,39,25,30,39,19,19,24,25,26,32,0,35,15,23,30,28,11,420,26.3,0,3,39,3.75,0.23,1.5,0.13,0.92,0.11,0,,
Demarcus Robinson,WR,KC,5,7,11,45,9,6,11,20,18,43,35,bye,42,56,36,40,35,419,26.2,0,8,40,3.75,0.6,1.5,0.12,0.73,0.08,0,,
Matt LaCosse,TE,NE,1,2,1,15,19,27,18,27,25,0,19,27,47,60,68,0,62,418,27.9,0,9,39,3.75,0.49,1.5,0.17,0.71,0.03,0,,
Theo Riddick,RB,DEN,41,28,21,25,19,0,0,0,39,46,27,29,38,25,25,33,19,415,29.6,10,18,44,4.28,0.66,1.5,0.27,0.82,0,0,,
Mark Andrews,TE,BAL,22,35,27,26,33,20,26,22,27,bye,25,18,32,25,29,20,27,414,25.9,0,12,35,3.75,0.66,2.01,0.18,0.71,0.17,0,,
Jalen Richard,RB,OAK,37,8,20,34,27,24,bye,22,22,27,32,26,32,33,30,23,16,413,25.8,13,20,39,4.71,0.65,2.26,0.29,0.88,0,0.13,,
Devante Parker,WR,MIA,0,0,33,0,0,4,0,66,51,45,bye,24,46,42,19,32,49,411,37.4,0,11,65,3.75,0.55,1.5,0.19,0.56,0.04,0,,
Derrick Henry,RB,TEN,20,25,32,28,21,12,24,bye,14,15,21,27,28,24,49,35,26,401,25.1,54,4,41,4.93,0.29,1.5,0.16,0.83,0,0.92,,
Mike Gesicki,TE,MIA,21,33,28,41,30,27,16,16,27,20,bye,37,22,20,25,16,21,400,25,0,8,43,3.75,0.55,1.5,0.14,0.71,0,0,,
Phillip Dorsett,WR,NE,57,55,45,57,42,3,8,5,12,15,bye,9,16,7,2,27,39,399,24.9,1,11,36,7.25,0.57,1.5,0.19,0.74,0.1,0,,
James Develin,RB,NE,35,20,8,33,15,33,15,27,17,12,bye,30,35,36,20,36,26,398,24.9,2,5,36,3.75,0.25,1.5,0.17,0.71,0,0.25,,
Nick Chubb,RB,CLE,4,3,5,3,11,7,45,31,37,42,bye,46,27,33,40,39,22,395,24.7,49,7,36,5.19,0.36,1.5,0.2,0.71,0.07,0.89,,
Mike Davis,RB,CHI,0,9,8,47,25,24,0,20,59,39,22,18,10,18,33,36,25,393,26.2,28,11,39,4.59,0.47,1.5,0.22,0.83,0.04,0.31,,
Tim Patrick,WR,DEN,9,4,2,2,6,2,16,19,48,bye,27,8,21,64,51,58,56,393,24.6,1,10,36,5.67,0.62,1.5,0.16,0.58,0.06,0,,
Jordan Akins,TE,HOU,37,15,25,37,18,8,30,34,36,bye,18,25,21,15,14,24,31,388,24.3,0,6,35,3.75,0.5,1.5,0.12,0.71,0,0,,
Blake Jarwin,TE,DAL,22,14,12,27,18,22,9,bye,27,3,3,35,28,57,43,27,40,387,24.2,0,9,36,3.75,0.59,1.5,0.15,0.77,0.13,0,,
Jason Croom,TE,BUF,18,16,25,12,21,16,16,17,42,44,bye,29,25,0,32,44,30,387,25.8,0,9,39,3.75,0.49,1.5,0.18,0.67,0.14,0,,
Carlos Hyde,RB,KC,47,36,45,49,28,32,0,28,0,9,11,15,23,3,0,16,43,385,27.5,45,4,39,3.32,0.39,1.5,0.1,0.67,0,0.36,,
Gerald Everett,TE,LAR,5,8,21,23,16,21,22,17,18,16,23,bye,24,36,34,51,45,380,23.8,1,13,35,8,0.65,1.5,0.19,0.69,0.09,0,,
Aaron Jones,RB,GB,0,0,17,29,22,19,bye,32,43,42,44,40,39,42,7,0,0,376,31.3,35,9,48,5.47,0.54,1.5,0.16,0.81,0.04,0.57,,
Will Fuller,WR,HOU,0,55,68,27,77,52,52,44,0,bye,0,0,0,0,0,0,0,375,53.6,0,12,77,3.75,0,1.5,0,0,0,0,,
Maxx Williams,TE,ARI,44,28,37,40,27,34,20,0,bye,0,0,8,21,22,43,20,30,374,28.8,1,5,38,3.75,0.22,1.7,0.19,1,0.07,0,,
Dontrelle Inman,WR,LAC,0,0,0,0,0,0,42,58,0,19,29,46,54,0,36,39,49,372,41.3,0,10,60,3.75,0.61,1.5,0.17,0.74,0.09,0,,
Nick O'Leary,TE,MIA,0,0,0,0,28,52,39,49,33,21,bye,30,32,24,25,16,23,372,31,0,3,53,3.75,0.27,1.5,0.1,0.8,0.04,0,,
Jeff Driskel,QB,CIN,0,0,0,0,0,0,9,0,bye,7,1,44,68,67,80,47,49,372,41.3,7,0,69,3.75,0,1.5,0,0,0,0,,
Demetrius Harris,TE,CLE,0,18,25,31,29,16,35,20,22,14,39,0,31,28,18,16,29,371,24.7,0,7,38,3.75,0.44,1.5,0.15,0.48,0.11,0,,
Bennie Fowler,WR,NYG,0,0,0,0,0,0,35,48,bye,26,17,26,32,26,46,54,60,370,37,0,7,58,3.75,0.66,1.5,0.1,0.64,0.04,0,,
Marcell Ateman,WR,OAK,0,0,0,0,0,0,bye,0,0,0,65,48,62,50,49,47,49,370,52.9,0,8,81,3.75,0.6,1.5,0.14,0.5,0.06,0,,
Jacquizz Rodgers,RB,NO,15,18,26,11,0,10,30,33,26,26,23,34,15,31,13,32,25,368,23,9,12,33,3.21,0.64,1.5,0.18,0.88,0,0.05,,
Paul Richardson,WR,WAS,61,68,45,bye,42,52,0,46,54,0,0,0,0,0,0,0,0,368,52.6,1,10,76,4.5,0.64,1.5,0.14,0.61,0.13,0,,
Dwayne Allen,TE,MIA,23,14,17,45,12,11,55,12,66,44,bye,0,0,0,3,37,26,365,28.1,0,1,41,3.75,0.3,1.5,0.04,0.75,0,0,,
Ed Dickson,TE,SEA,0,0,0,0,0,0,bye,20,25,24,29,44,28,36,46,64,48,364,36.4,0,4,53,9,0.4,1.5,0.08,0.92,0.09,0,,
Alex Erickson,WR,CIN,1,0,7,36,36,46,20,51,bye,16,9,7,5,21,36,32,41,364,22.8,1,8,39,7.33,0.61,1.5,0.13,0.71,0,0,,
Matt Breida,RB,SF,30,25,29,38,13,27,5,31,27,44,bye,31,10,0,45,9,0,364,26,42,9,39,5.32,0.44,1.63,0.19,0.87,0.08,0.5,,
Jeremy Sprinkle,TE,WAS,34,13,24,bye,11,21,19,19,12,26,27,10,8,16,41,46,36,363,22.7,0,2,36,3.75,0.31,1.5,0.07,0.63,0.07,0,,
Logan Paulsen,TE,ATL,19,29,21,29,19,37,27,bye,30,27,17,20,18,0,15,25,29,362,24.1,0,2,37,3.75,0.24,1.5,0.1,1,0.03,0,,
Doug Martin,RB,OAK,10,16,13,6,6,6,bye,28,26,30,14,28,40,33,27,34,43,360,22.5,48,7,35,4.2,0.38,1.5,0.17,0.78,0,0.5,,
Nick Foles,QB,JAC,72,79,0,0,0,0,0,0,bye,0,0,0,0,0,64,81,61,357,71.4,3,0,97,3.75,0,15,1,1,0,0,,
Eric Tomlinson,TE,NYJ,29,37,24,13,46,27,26,6,24,13,bye,23,21,21,26,17,0,353,23.5,0,4,37,3.75,0.27,1.5,0.14,0.62,0,0,,
Mark Ingram,RB,BAL,0,0,0,0,36,0,35,23,34,31,30,27,21,29,33,32,19,350,29.2,39,8,45,4.67,0.38,1.5,0.19,0.84,0.06,0.4,,
Jaron Brown,WR,SEA,33,47,50,15,9,22,bye,18,19,9,14,13,15,43,12,15,16,350,21.9,0,5,33,3.75,0.43,1.5,0.12,0.78,0.15,0,,
Austin Ekeler,RB,LAC,22,23,18,23,23,21,42,bye,9,20,18,26,49,39,0,0,15,348,24.9,30,15,41,5.23,0.55,2.13,0.25,0.83,0.09,0.19,,
Kerryon Johnson,RB,DET,16,36,32,20,29,bye,38,48,39,55,33,0,0,0,0,0,0,346,34.6,34,11,52,5.43,0.49,1.5,0.22,0.86,0.05,0.27,,
Michael Floyd,WR,BAL,0,0,0,0,9,7,30,9,14,31,33,26,18,31,46,53,38,345,26.5,0,7,43,3.75,0.58,1.5,0.12,0.43,0.06,0,,
Jordan Matthews,WR,SF,0,0,33,46,22,26,29,34,0,38,14,14,21,10,5,33,19,344,24.6,0,8,37,3.75,0.62,1.5,0.12,0.77,0.08,0,,
Chris Manhertz,TE,CAR,34,13,39,bye,37,10,6,22,25,15,12,18,8,21,15,25,44,344,21.5,0,1,32,3.75,0.16,1.5,0.09,0.4,0.04,0,,
Trent Sherfield,WR,ARI,0,0,0,0,3,0,0,0,bye,39,20,20,31,65,64,45,56,343,26.4,0,8,63,3.75,0.65,1.5,0.12,0.7,0.07,0,,
C.J. Beathard,QB,SF,0,0,1,60,98,57,58,66,0,0,bye,0,0,0,0,0,0,340,56.7,6,0,77,3.75,0,1.5,0,0,0,0,,
Antony Auclair,TE,TB,10,17,17,19,bye,23,22,15,13,14,14,36,31,23,26,30,29,339,21.2,0,2,30,3.75,0.25,1.5,0.1,0.88,0,0,,
Jack Doyle,TE,IND,77,59,0,0,0,0,0,57,bye,49,51,39,0,0,0,0,0,332,55.3,0,10,82,3.75,0.48,1.54,0.2,0.81,0.05,0,,
Isaiah Crowell,RB,OAK,24,31,29,20,25,29,33,25,23,19,0,26,43,5,0,0,0,332,25.5,43,8,41,4.79,0.44,1.5,0.18,0.81,0,0.75,,
Frank Gore,RB,BUF,18,24,16,25,26,30,25,29,29,29,bye,29,20,23,7,0,0,330,23.6,47,5,41,4.63,0.39,1.5,0.13,0.75,0.07,0,,
Giovani Bernard,RB,CIN,12,39,57,44,0,0,0,0,bye,12,26,23,28,25,30,14,19,329,27.4,17,15,44,3.77,0.59,1.5,0.21,0.85,0,0.27,,
Jordan Leggett,TE,TB,15,0,19,27,29,22,22,12,33,17,0,17,23,19,26,16,29,326,21.7,0,8,35,3.75,0.43,1.5,0.16,0.64,0.03,0,,
Torrey Smith,WR,CAR,51,58,44,bye,46,42,30,0,0,0,0,13,9,2,0,9,20,324,29.5,0,9,43,3.75,0.64,1.5,0.14,0.61,0.07,0,,
Wendell Smallwood,RB,PHI,1,24,29,37,29,44,35,31,bye,21,4,1,2,4,20,16,26,324,20.3,27,11,30,4.18,0.61,1.5,0.16,0.88,0.06,0.25,,
Josh Bellamy,WR,NYJ,2,2,18,9,0,16,18,55,32,6,13,18,20,19,14,22,57,321,20.1,0,8,30,3.75,0.47,1.5,0.16,0.56,0.06,0,,
Trent Taylor,WR,SF,37,16,25,31,50,0,20,19,0,7,bye,9,23,23,15,26,20,321,22.9,0,12,34,3.75,0.75,1.5,0.16,0.68,0.04,0,,
Sony Michel,RB,NE,0,13,23,33,27,37,6,0,0,18,bye,30,30,33,22,23,25,320,24.6,65,3,36,4.45,0.18,1.5,0.19,0.64,0,0.38,,
Elijah McGuire,RB,NYJ,0,0,0,0,0,0,0,0,36,32,bye,35,25,40,56,51,43,318,39.8,29,10,64,3.07,0.48,1.5,0.19,0.63,0.06,0.3,,
Devontae Booker,RB,DEN,19,22,26,20,22,22,6,32,26,bye,11,6,13,17,15,24,35,316,19.8,11,16,29,5.38,0.72,1.5,0.21,0.79,0,0.06,,
Lance Kendricks,TE,NE,19,27,10,35,18,22,0,17,26,35,26,22,12,17,9,16,4,315,19.7,0,8,29,3.75,0.47,1.5,0.16,0.79,0.03,0,,
Cody Core,WR,CIN,0,0,6,11,8,9,14,6,bye,20,34,30,35,33,51,43,11,311,22.2,0,9,36,3.75,0.63,1.5,0.14,0.46,0.04,0,,
Ito Smith,RB,ATL,0,19,10,30,12,31,28,bye,28,22,20,26,24,32,29,0,0,311,22.2,29,10,36,3.5,0.53,1.5,0.18,0.9,0,0.5,,
Chris Thompson,RB,WAS,33,50,25,bye,40,0,0,26,0,0,0,0,29,25,29,22,29,308,30.8,14,18,49,4.14,0.67,1.5,0.25,0.79,0.07,0,,
Royce Freeman,RB,DEN,29,16,29,16,30,25,18,0,0,bye,13,15,21,9,18,25,44,308,22,42,6,33,4.01,0.39,1.5,0.16,0.74,0,0.31,,
Ryan Switzer,WR,PIT,7,13,7,21,4,2,bye,19,13,8,24,52,24,28,21,35,24,302,18.9,2,15,27,3.5,0.8,1.5,0.18,0.82,0.03,0,,
Dalton Schultz,TE,DAL,2,0,0,0,0,0,19,bye,24,8,11,42,40,46,31,33,44,300,27.3,0,6,39,3.75,0.38,1.5,0.14,0.75,0,0,,
D.J. Chark,WR,JAC,13,30,11,29,25,13,30,48,bye,44,36,0,0,0,0,0,12,291,26.5,0,11,40,3.75,0.66,1.5,0.16,0.45,0,0,,
Scott Simonson,TE,NYG,4,3,16,14,18,63,11,4,bye,13,18,18,27,22,3,24,31,289,18.1,0,5,28,3.75,0.33,1.5,0.14,0.69,0.04,0,,
Gus Edwards,RB,BAL,0,0,0,0,0,14,7,8,2,bye,49,43,40,31,33,23,36,286,26,48,1,36,5.24,0.19,1.5,0.04,1,0,0.13,,
Lee Smith,TE,BUF,9,22,19,30,8,12,0,15,21,23,29,17,17,14,7,23,18,284,17.8,0,4,27,3.75,0.16,1.62,0.24,0.91,0.21,0,,
Logan Thomas,TE,DET,18,19,0,0,24,18,10,18,47,30,0,31,0,36,0,26,7,284,23.7,0,6,36,3.75,0.43,1.5,0.13,0.75,0,0,,
DeAndre Carter,WR,HOU,53,19,0,0,0,2,3,6,0,bye,0,12,44,8,32,49,56,284,20.3,0,9,37,7,0.6,1.5,0.14,0.92,0,0,,
Jakeem Grant,WR,MIA,25,32,9,31,15,31,39,63,29,8,bye,0,0,0,0,0,0,282,28.2,0,12,47,5,0.58,1.63,0.19,0.68,0.08,0,,
Leonard Fournette,RB,JAC,21,0,0,24,0,0,0,0,bye,39,35,31,0,55,26,49,0,280,35,48,9,51,3.3,0.35,1.87,0.25,0.88,0.07,0.45,,
Travis Benjamin,WR,LAC,47,0,0,5,0,0,5,bye,18,13,19,44,28,20,44,21,14,278,23.2,3,9,36,5.86,0.65,1.5,0.13,0.52,0.03,0,,
Garrett Celek,TE,SF,23,30,19,17,26,17,20,23,20,6,bye,12,16,27,17,3,0,276,18.4,0,3,28,3.75,0.2,1.64,0.15,0.63,0.08,0,,
Hayden Hurst,TE,BAL,0,0,0,0,21,18,18,30,27,bye,35,19,21,18,30,17,21,275,22.9,0,8,31,3.75,0.43,1.5,0.18,0.62,0.06,0,,
Austin Carr,WR,NO,44,32,13,12,14,bye,15,19,15,22,31,18,14,14,0,0,11,274,19.6,0,5,30,3.75,0.56,1.5,0.08,0.69,0.06,0,,
Keke Coutee,WR,HOU,0,0,0,80,57,45,16,0,0,bye,42,27,0,0,0,0,0,267,44.5,1,15,64,3.75,0.63,1.72,0.23,0.74,0.04,0,,
Ty Montgomery,RB,NYJ,23,26,20,20,29,26,0,6,0,0,9,28,27,19,0,11,20,264,20.3,16,15,29,4.59,0.58,1.54,0.24,0.69,0,0.1,,
Cody Kessler,QB,PHI,0,0,0,0,0,0,38,0,bye,0,0,0,58,71,52,44,0,263,52.6,7,0,83,3.75,0,1.5,0,0,0,0,,
Equanimeous St. Brown,WR,GB,0,0,0,0,0,0,bye,6,15,33,43,36,15,34,42,39,0,263,26.3,0,11,45,5,0.95,1.5,0.14,0.62,0,0,,
Andy Jones,WR,DET,0,0,0,0,0,bye,0,0,2,0,19,21,17,37,45,62,53,256,32,0,9,48,3.75,0.51,1.5,0.17,0.5,0.05,0,,
Aldrick Robinson,WR,CAR,0,0,8,8,15,6,8,17,26,0,8,18,43,13,15,32,35,252,18,0,14,28,3.75,0.69,1.5,0.18,0.53,0.19,0,,
Josh Adams,RB,PHI,0,0,8,1,1,0,8,18,bye,19,28,40,41,21,24,25,18,252,15.8,48,5,28,4.26,0.39,1.5,0.13,0.54,0,0.25,,
Alfred Morris,RB,DAL,34,31,23,14,44,1,20,11,10,14,0,0,0,4,0,0,44,250,20.8,44,6,32,3.86,0.4,1.5,0.1,0.8,0,0.29,,
Deonte Thompson,WR,NYJ,30,23,27,29,36,7,15,0,3,0,bye,16,25,11,17,11,0,250,19.2,0,12,30,3.75,0.54,1.5,0.22,0.57,0,0,,
Spencer Ware,RB,IND,9,6,18,24,8,16,22,9,14,20,11,0,49,41,0,0,0,247,19,21,9,28,4.82,0.57,1.58,0.15,0.91,0,0.15,,
Geronimo Allison,WR,GB,42,61,52,56,0,0,bye,30,0,0,0,0,0,0,0,0,0,241,48.2,0,12,72,3.75,0.71,1.78,0.16,0.71,0.08,0,,
Mo Alie-Cox,TE,IND,0,0,0,13,0,12,32,25,bye,23,26,0,0,0,40,32,38,241,26.8,0,6,37,3.75,0.22,2.46,0.24,0.54,0.05,0,,
Andy Janovich,RB,DEN,13,11,13,17,10,17,20,18,15,bye,9,21,23,13,16,12,11,239,14.9,1,4,22,3.75,0.28,1.52,0.12,0.88,0.06,0,,
Corey Clement,RB,PHI,13,33,45,0,0,26,25,13,bye,18,14,24,23,4,0,0,0,238,21.6,29,11,32,3.81,0.53,1.54,0.2,0.88,0,0.17,,
Derek Carrier,TE,OAK,25,11,18,17,9,11,bye,12,12,18,11,19,14,13,8,20,16,234,14.6,0,5,22,3.75,0.41,1.5,0.12,0.64,0.06,0,,
Albert Wilson,WR,MIA,34,29,10,37,58,50,14,0,0,0,bye,0,0,0,0,0,0,232,33.1,3,15,56,3.75,0.56,3.03,0.28,0.72,0.16,0,,
David Morgan,TE,MIN,30,22,0,23,20,30,24,17,8,bye,0,0,0,0,23,23,11,231,21,0,3,31,3.75,0.17,1.5,0.15,0.83,0,0,,
Cordarrelle Patterson,WR,CHI,16,28,19,41,8,6,6,13,13,10,0,22,8,18,5,17,0,230,15.3,18,12,22,5.43,0.46,2.33,0.25,0.78,0.11,0.08,,
