Player,FantasyProName,Pos,Team,Avg,RushPercent,TgtPercent,SnapPercent,YPC,SnapPerRoute,YPRR,TgtPerRoute,CatchPerc,RecTDPerc,RushTdPerc,DKSalary,FDSalary,BottomTwentyFive,TopTwentyFive,Percentile,DKValue,ProjPts,numberFirePots,Active
Kyle Rudolph,Kyle Rudolph,TE,MIN,52.02,0,8.1,79.2,3.75,0.531,1.5,0.126,0.756,0.12,0,2880,0,2.52,17.334,3.6,0,0,6.73,Active
Justice Hill,Justice Hill,RB,BAL,30,3,0,53,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,5.08,Active
Jaylen Samuels,Jaylen Samuels,RB,PIT,14.67,23.4,12.6,30.4,4.488,0.513,1.5,0.21,0.86,0.08,0,3240,0,10.08,19.98,3.6,0,0,6.22,Active
Jakeem Grant,Jakeem Grant,WR,MIA,25.38,0,11.7,49.4,4.875,0.522,1.5,0.185,0.645,0.07,0,2880,0,1.575,10.08,3.6,0,0,6.41,Active
Allen Hurns,Allen Hurns,WR,MIA,25.47,0,7.8,45.1,3.75,0.504,1.5,0.124,0.599,0.07,0,2880,0,2.43,20.205,3.6,0,0,6.07,Active
Wayne Gallman,Wayne Gallman,RB,NYG,9.27,1.4,2.1,52.1,3.955,0.45,1.59,0.273,0.703,0,0.17,2970,0,3.42,15.21,3.6,0,0,5.3,Active
Travis Benjamin,Travis Benjamin,WR,LAC,20.88,2.7,9.1,37.1,5.649,0.585,1.5,0.131,0.535,0.03,0,2880,0,2.691,20.151,3.6,0,0,5.48,Active
Jack Doyle,Jack Doyle,TE,IND,49.77,0,9.5,80.6,3.75,0.432,1.54,0.195,0.779,0.05,0,2790,0,2.43,16.749,3.6,0,0,6.77,Active
Noah Fant,Noah Fant,TE,DEN,30,0.2,0.6,57.9,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,6.37,Active
Jason Witten,Jason Witten,TE,DAL,30,0,0.9,56.8,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,6.77,Active
Hayden Hurst,Hayden Hurst,TE,BAL,20.61,0,7.9,33.4,3.75,0.387,1.692,0.187,0.658,0.05,0,2610,0,2.79,9.81,3.6,0,0,5.62,Active
Sterling Shepard,Sterling Shepard,WR,NYG,52.65,0,10.9,91.9,10.275,0.576,1.5,0.167,0.671,0.15,0,4590,0,4.527,21.114,3.6,0,0,5.67,Active
KeeSean Johnson,KeeSean Johnson,WR,ARI,30,0,1.4,57.8,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,5.68,Active
Kendrick Bourne,Kendrick Bourne,WR,SF,34.11,0,11.6,54,3.75,0.54,1.5,0.182,0.663,0.14,0,2700,0,3.42,12.582,3.6,0,0,5.51,Active
Alexander Mattison,Alexander Mattison,RB,MIN,30,7.5,0,52.3,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,4.45,Active
Michael Gesicki,Michael Gesicki,TE,MIA,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,5.66,Active
Ryan Grant,Ryan Grant,WR,OAK,36.09,0,9.1,58.9,3.75,0.639,1.5,0.135,0.678,0.05,0,2880,0,1.35,12.078,3.6,0,0,5.63,Active
Dante Pettis,Dante Pettis,WR,SF,33.93,0,14,57,3.75,0.522,2.311,0.235,0.712,0.17,0,4770,0,4.365,22.68,3.6,0,0,5.26,Active
Miles Boykin,Miles Boykin,WR,BAL,30,0,0.6,52.4,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,4.91,Active
Jaron Brown,Jaron Brown,WR,SEA,19.71,0,4.5,29.7,3.75,0.387,1.5,0.108,0.702,0.14,0,2970,0,1.422,12.303,3.6,0,0,4.88,Active
Deebo Samuel,Deebo Samuel,WR,SF,30,0,0.5,58.8,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,5.12,Active
Ty Montgomery,Ty Montgomery,RB,NYJ,18.27,18.4,13.5,26.8,4.506,0.522,1.5,0.216,0.621,0,0.09,0,0,5.985,23.472,3.6,0,0,4.69,Active
Jarius Wright,Jarius Wright,WR,CAR,29.7,0,10.2,51.1,17.925,0.657,1.5,0.139,0.775,0.04,0,0,0,2.97,10.908,3.6,0,0,5.18,Active
Josh Reynolds,Josh Reynolds,WR,LAR,34.38,0,8.1,49.5,3.975,0.477,1.5,0.149,0.531,0.14,0,2880,0,2.232,16.695,3.6,0,0,4.9,Active
J.J. Nelson,J.J. Nelson,WR,OAK,13.68,1.8,8.1,23.4,3.75,0.558,1.5,0.135,0.333,0,0,3150,0,0,0,3.6,0,0,4.67,Active
Vernon Davis,Vernon Davis,TE,WAS,28.8,0,8.5,52.2,3.75,0.396,1.848,0.183,0.696,0.15,0,2880,0,0.945,12.582,3.6,0,0,4.87,Active
Tyler Higbee,Tyler Higbee,TE,LAR,44.37,0,4.6,69.9,3.75,0.27,1.5,0.135,0.847,0.15,0,2610,0,0.711,8.271,3.6,0,0,5.06,Active
Nick Vannett,Nick Vannett,TE,SEA,31.77,0,8.1,52.2,3.75,0.369,1.51,0.182,0.757,0.08,0,2340,0,2.142,10.125,3.6,0,0,4.96,Active
Justin Hardy,Justin Hardy,WR,ATL,12.42,0,11.4,21.7,3.75,0.468,1.643,0.189,0.71,0.05,0,0,0,1.827,8.955,3.6,0,0,4.95,Active
Dallas Goedert,Dallas Goedert,TE,PHI,29.52,0,8,48.6,3.75,0.396,1.5,0.19,0.76,0.12,0,0,0,1.467,14.697,3.6,0,0,4.92,Active
Dare Ogunbowale,Dare Ogunbowale,RB,TB,0.9,0,1.9,53.9,3.75,0,1.5,0,0,0,0,0,0,0,0,3.6,0,0,5.54,Active
Nick O'Leary,Nick O'Leary,TE,MIA,27.9,0,2.7,47.7,3.75,0.243,1.5,0.09,0.72,0.04,0,2250,0,0.918,9.144,3.6,0,0,4.64,Active
Ryan Griffin,Ryan Griffin,TE,NYJ,47.79,0,6,78.7,3.75,0.441,1.5,0.117,0.588,0,0,0,0,1.368,12.132,3.6,0,0,4.91,Active
Cordarrelle Patterson,Cordarrelle Patterson,WR,CHI,13.77,16.7,12.4,22.5,5.262,0.414,2.117,0.245,0.735,0.1,0.07,3150,0,2.097,13.833,3.6,0,0,4.31,Active
Gerald Everett,Gerald Everett,TE,LAR,21.42,0.9,12,35.3,7.575,0.585,1.5,0.177,0.721,0.08,0,2430,0,1.035,8.55,3.6,0,0,4.57,Active
Albert Wilson,Albert Wilson,WR,MIA,29.79,4.4,20.2,51.6,3.75,0.504,2.987,0.332,0.698,0.14,0,3420,0,2.259,16.353,3.6,0,0,4.31,Active
Damiere Byrd,Damiere Byrd,WR,ARI,4.95,0,0.9,58.5,3.75,0.405,1.5,0.103,0.507,0,0,2700,0,1.98,15.75,3.6,0,0,4.43,Active
