Player,FantasyProName,Pos,Team,Avg,RushPercent,TgtPercent,SnapPercent,YPC,SnapPerRoute,YPRR,TgtPerRoute,CatchPerc,RecTDPerc,RushTdPerc,DKSalary,FDSalary,BottomTwentyFive,TopTwentyFive,Percentile,DKValue,ProjPts,numberFirePots,Active
Corey Clement,Corey Clement,RB,PHI,19.44,26.1,9.9,28.8,3.804,0.477,1.5,0.18,0.792,0,0.15,0,0,2.7,23.04,3.6,0,0,1.24,Active
Bilal Powell,Bilal Powell,RB,NYJ,26.73,34.2,8.1,42.3,4.236,0.423,1.5,0.153,0.585,0.05,0,0,0,4.32,23.292,3.6,0,0,1.1,Active
Brandon Zylstra,Brandon Zylstra,WR,CAR,0.99,0,0,50,3.75,0.477,2.304,0.198,0.45,0,0,0,0,0,0,3.6,0,0,1.36,Active
Chris Manhertz,Chris Manhertz,TE,CAR,19.35,0,0.9,28.8,3.75,0.144,1.5,0.081,0.36,0.04,0,0,0,0,0,3.6,0,0,1.31,Active
Blake Bell,Blake Bell,TE,KC,19.89,0,4.8,35.6,3.75,0.441,1.5,0.082,0.901,0,0,2250,0,0,7.29,3.6,0,0,1.22,Active
Rhett Ellison,Rhett Ellison,TE,NYG,35.82,0,6.3,59.2,3.75,0.396,1.5,0.139,0.752,0.04,0,2250,0,0.234,9.756,3.6,0,0,1.41,Active
Josh Doctson,Josh Doctson,WR,MIN,50.76,0,8.1,79.2,3.75,0.549,1.5,0.135,0.531,0.12,0,3150,0,1.881,11.583,3.6,0,0,1.27,Active
Taysom Hill,Taysom Hill,QB,NO,10.17,18,3.6,16.2,3.75,0.171,1.5,0.218,0.437,0,0,3780,0,0,0,3.6,0,0,1.14,Active
Xavier Grimble,Xavier Grimble,TE,PIT,9.81,0,4.5,15.3,3.75,0.252,1.584,0.126,0.774,0,0,2250,0,1.8,3.06,3.6,0,0,1.29,Active
Tajae Sharpe,Tajae Sharpe,WR,TEN,33.3,0,7.2,54,14.775,0.495,1.5,0.144,0.513,0.12,0,2880,0,0.927,13.194,3.6,0,0,1.26,Active
Anthony Sherman,Anthony Sherman,RB,KC,5.49,0,1,51.5,3.75,0.279,3.63,0.32,0.901,0.02,0,2700,0,0,0,3.6,0,0,1.26,Active
Darren Fells,Darren Fells,TE,HOU,23.67,0,2.7,35.1,3.75,0.207,1.5,0.126,0.828,0.1,0,2250,0,1.242,10.359,3.6,0,0,1.15,Active
DeAndre Carter,DeAndre Carter,WR,HOU,18.27,0,8.4,38,6.675,0.54,1.5,0.134,0.928,0,0,2790,0,1.8,10.89,3.6,0,0,1.12,Active
Derek Carrier,Derek Carrier,TE,OAK,13.14,0,4.5,19.8,3.75,0.369,1.5,0.108,0.576,0.05,0,2250,0,2.295,8.37,3.6,0,0,1.24,Active
Josh Hill,Josh Hill,TE,NO,36.72,0,4,59.1,3.75,0.27,1.5,0.115,0.73,0.03,0,2250,0,0.18,8.559,3.6,0,0,1.19,Active
Jake Kumerow,Jake Kumerow,WR,GB,24.48,0,7.2,35.1,3.75,0.684,1.5,0.09,0.72,0.04,0,2880,0,4.41,14.22,3.6,0,0,1.13,Active
Chris Hogan,Chris Hogan,WR,CAR,45.18,0,6.3,64.8,3.75,0.558,1.5,0.123,0.621,0.1,0,0,0,1.197,16.434,3.6,0,0,1.04,Active
Dalton Schultz,Dalton Schultz,TE,DAL,24.57,0,5.4,35.1,3.75,0.342,1.5,0.126,0.675,0,0,2250,0,0.81,6.03,3.6,0,0,1.14,Active
Foster Moreau,Foster Moreau,TE,OAK,30,0,0.7,55.3,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.19,Active
Jalen Hurd,Jalen Hurd,WR,SF,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.1,Active
Mo Alie-Cox,Mo Alie-Cox,TE,IND,24.12,0,6.2,35.4,3.75,0.198,2.364,0.266,0.586,0.05,0,2250,0,0,9.72,3.6,0,0,1.14,Active
Ryan Izzo,Ryan Izzo,TE,NE,8.19,0,0.2,56.3,3.75,0,1.5,0.008,0.1,0,0,2250,0,0,0,3.6,0,0,0.99,Active
Trenton Cannon,Trenton Cannon,RB,NYJ,10.44,18.9,12.6,20.7,3.75,0.495,1.5,0.234,0.585,0,0.09,0,0,0,0,3.6,0,0,0.83,Active
Andy Isabella,Andy Isabella,WR,ARI,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.99,Active
Seth DeValve,Seth DeValve,TE,JAC,6.75,0,0,50,3.75,0.432,1.5,0.135,0.639,0.04,0,2250,0,0.837,7.92,3.6,0,0,1.01,Active
Derek Watt,Derek Watt,RB,LAC,8.19,1.4,0,52.2,3.75,0.144,1.5,0.036,0.9,0,0,2700,0,0,0,3.6,0,0,0.81,Active
Tavon Austin,Tavon Austin,WR,DAL,14.76,4.5,10.3,26.3,8.628,0.549,2,0.178,0.703,0.08,0,2700,0,3.15,23.274,3.6,0,0,0.86,Active
Reggie Bonnafon,Reggie Bonnafon,RB,CAR,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.63,Active
Jerell Adams,Jerell Adams,TE,HOU,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.93,Active
Geremy Davis,Geremy Davis,WR,LAC,4.77,0,0,50,3.75,0,1.5,0,0,0,0,2700,0,0,0,3.6,0,0,0.91,Active
Kyle Juszczyk,Kyle Juszczyk,RB,SF,37.26,0.9,5.4,56.7,3.75,0.351,1.5,0.126,0.729,0.04,0,2700,0,1.656,10.368,3.6,0,0,1.03,Active
JoJo Natson,JoJo Natson,WR,LAR,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.61,Active
Ricky Seals-Jones,Ricky Seals-Jones,TE,CLE,32.13,0,11.7,54.9,3.75,0.612,1.5,0.162,0.468,0.06,0,0,0,0.45,9.747,3.6,0,0,0.94,Active
Dawson Knox,Dawson Knox,TE,BUF,30,0,0.5,55.6,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.89,Active
Darrell Henderson,Darrell Henderson,RB,LAR,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.09,Active
Riley Ridley,Riley Ridley,WR,CHI,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.93,Active
Mack Hollins,Mack Hollins,WR,PHI,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.88,Active
MyCole Pruitt,MyCole Pruitt,TE,TEN,11.52,0,5.4,19.8,3.75,0.234,1.836,0.198,0.738,0.06,0,2250,0,1.08,9.81,3.6,0,0,0.95,Active
Ben Braunecker,Ben Braunecker,TE,CHI,7.11,0,0,50,3.75,0.279,1.5,0.126,0.54,0,0,2250,0,0,0,3.6,0,0,0.85,Active
Mark Walton,Mark Walton,RB,MIA,5.94,2.5,0,50.8,3.75,0.549,1.5,0.108,0.639,0,0,2700,0,0,0,3.6,0,0,0.78,Active
Darrel Williams,Darrel Williams,RB,KC,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.8,Active
C.J. Ham,C.J. Ham,RB,MIN,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.71,Active
James Develin,James Develin,RB,NE,22.41,1.8,4.5,32.4,3.75,0.225,1.5,0.153,0.639,0,0.23,2700,0,0,8.037,3.6,0,0,0.73,Active
Sean Culkin,Sean Culkin,TE,LAC,13.23,0,0.9,21.6,3.75,0.189,1.5,0.018,0.9,0,0,2250,0,0,0,3.6,0,0,0.79,Active
Durham Smythe,Durham Smythe,TE,MIA,10.53,0,5.4,18,3.75,0.225,1.5,0.162,0.675,0,0,2250,0,1.71,3.96,3.6,0,0,0.79,Active
Eric Saubert,Eric Saubert,TE,NE,9.99,0,4.5,15.3,3.75,0.342,1.5,0.117,0.504,0,0,0,0,0,0,3.6,0,0,0.72,Active
Josh Bellamy,Josh Bellamy,WR,NYJ,18.09,0,8.9,27.8,3.75,0.423,2.1,0.194,0.604,0.05,0,0,0,1.233,11.34,3.6,0,0,2.78,Active
Andre Roberts,Andre Roberts,WR,BUF,11.52,0.9,8.1,23.4,9.375,0.567,1.5,0.135,0.504,0.06,0,2700,0,0.783,6.957,3.6,0,0,0.66,Active
Buddy Howell,Buddy Howell,RB,HOU,0.18,0,0,50,3.75,0,1.5,0,0,0,0,2700,0,0,0,3.6,0,0,0.65,Active
Jordan Wilkins,Jordan Wilkins,RB,IND,11.16,27,8.1,18.9,5.415,0.459,1.5,0.144,0.9,0,0.07,2700,0,0,0,3.6,0,0,0.69,Active
Pharoh Cooper,Pharoh Cooper,WR,CIN,0.81,0,0,50,3.75,0.45,1.5,0.297,0,0,0,2700,0,1.62,5.04,3.6,0,0,0.79,Active
Kenjon Barner,Kenjon Barner,RB,ATL,4.77,0,0,50,3.741,0.36,1.5,0.045,0.9,0,0,0,0,0,0,3.6,0,0,0.66,Active
Logan Paulsen,Logan Paulsen,TE,HOU,21.69,0,1.8,33.3,3.75,0.216,1.5,0.09,0.9,0.03,0,2250,0,0,5.265,3.6,0,0,0.77,Active
Zach Line,Zach Line,RB,NO,12.69,3.6,3.6,19.8,4.479,0.261,1.5,0.135,0.45,0.05,0,2700,0,0,0,3.6,0,0,0.71,Active
Keith Kirkwood,Keith Kirkwood,WR,NO,25.29,0,8.1,39.6,3.75,0.522,1.5,0.144,0.558,0.05,0,2790,0,4.95,9,3.6,0,0,0.66,Active
Shaun Wilson,Shaun Wilson,RB,WAS,3.96,0,0,50,4.722,0.657,1.5,0.279,0.54,0,0,0,0,0,0,3.6,0,0,0.67,Active
Trent Sherfield,Trent Sherfield,WR,ARI,23.76,0,7.2,56.7,3.75,0.585,1.5,0.108,0.63,0.06,0,2700,0,2.115,11.205,3.6,0,0,0.71,Active
Patrick Ricard,Patrick Ricard,RB,BAL,30,0,0.4,53.2,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.75,Active
D.J. Foster,D.J. Foster,RB,ARI,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.67,Active
Antony Auclair,Antony Auclair,TE,TB,19.08,0,1.8,27,3.75,0.225,1.5,0.09,0.792,0,0,0,0,0,1.62,3.6,0,0,0.66,Active
Matt Lengel,Matt Lengel,TE,CIN,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.74,Active
Andy Janovich,Andy Janovich,RB,DEN,13.41,0.9,3.6,19.8,3.75,0.252,1.5,0.108,0.792,0.05,0,2700,0,0.81,7.92,3.6,0,0,0.67,Active
Logan Thomas,Logan Thomas,TE,DET,21.33,0,5.4,32.4,3.75,0.387,1.5,0.117,0.675,0,0,2250,0,0,9.09,3.6,0,0,0.66,Active
Luke Stocker,Luke Stocker,TE,ATL,26.91,0,3.6,44.1,3.75,0.207,1.5,0.181,0.639,0.05,0,0,0,0,6.48,3.6,0,0,0.64,Active
Auden Tate,Auden Tate,WR,CIN,9.9,0,14.4,18.9,3.75,0.612,1.5,0.207,0.297,0,0,2700,0,2.25,3.15,3.6,0,0,0.65,Active
Robert Tonyan,Robert Tonyan,TE,GB,3.78,0,0.5,53.1,3.75,0.594,1.886,0.11,0.82,0.04,0,2250,0,0,0,3.6,0,0,0.62,Active
Mike Boone,Mike Boone,RB,MIN,4.05,0,0,50,4.218,0.549,1.5,0.126,0.603,0,0,2700,0,0,0,3.6,0,0,0.55,Active
Bobo Wilson,Bobo Wilson,WR,TB,12.42,0,6.3,18.9,3.75,0.576,1.5,0.149,0.72,0,0,0,0,0,0,3.6,0,0,0.65,Active
Alex Armah,Alex Armah,RB,CAR,6.48,0.8,0,51.8,3.75,0.099,1.5,0.072,0.9,0,0.19,0,0,0,0,3.6,0,0,0.36,Active
Justin Watson,Justin Watson,WR,TB,5.49,0,0,50,3.75,0.369,1.5,0.063,0.45,0,0,0,0,0,0,3.6,0,0,0.64,Active
Khadarel Hodge,Khadarel Hodge,WR,CLE,5.49,0,0,50,3.75,0.297,1.5,0.099,0.603,0,0,0,0,0,0,3.6,0,0,0.61,Active
Keith Smith,Keith Smith,RB,ATL,9.09,0,0,50,3.75,0.198,1.5,0.171,0.639,0,0,0,0,0,0,3.6,0,0,0.63,Active
Josh Adams,Josh Adams,RB,PHI,14.22,43.2,4.5,25.2,4.209,0.351,1.5,0.117,0.486,0,0.23,0,0,3.24,14.58,3.6,0,0,0.38,Active
Javon Wims,Javon Wims,WR,CHI,6.75,0,0,50,3.75,0.333,2.619,0.411,0.72,0,0,2790,0,0,0,3.6,0,0,0.58,Active
Darius Jennings,Darius Jennings,WR,TEN,10.17,0.9,7.2,16.2,3.75,0.495,1.5,0.135,0.657,0,0,2700,0,4.23,9.45,3.6,0,0,0.46,Active
Devin Smith,Devin Smith,WR,DAL,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.56,Active
Derrick Coleman,Derrick Coleman,RB,ARI,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.56,Active
Ty Johnson,Ty Johnson,RB,DET,30,1.1,0,51.1,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.35,Active
Jordan Scarlett,Jordan Scarlett,RB,CAR,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.39,Active
Anthony Firkser,Anthony Firkser,TE,TEN,13.59,0,9.9,22.5,3.75,0.603,1.656,0.144,0.855,0.06,0,2250,0,1.62,3.24,3.6,0,0,0.49,Active
Tyler Conklin,Tyler Conklin,TE,MIN,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.51,Active
Cethan Carter,Cethan Carter,TE,CIN,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.55,Active
Michael Roberts,Michael Roberts,TE,GB,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.49,Active
Nick Bawden,Nick Bawden,RB,DET,30,0,0.5,52.4,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.62,Active
Troymaine Pope,Troymaine Pope,RB,LAC,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.49,Active
Brandon Bolden,Brandon Bolden,RB,NE,1.44,10,0,50.1,10.942,0.396,1.5,0.243,0.9,0.03,0.12,2700,0,4.59,9.9,3.6,0,0,0.42,Active
Jakobi Meyers,Jakobi Meyers,WR,NE,30,0,1.3,51.1,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.46,Active
David Fluellen,David Fluellen,RB,TEN,0.81,0,0,50,3.75,0,1.5,0,0,0,0,2700,0,0,0,3.6,0,0,0.46,Active
Michael Crabtree,Michael Crabtree,WR,ARI,45.27,0,10.8,61.2,3.75,0.558,1.5,0.18,0.495,0.18,0,2970,0,3.474,21.816,3.6,0,0,0.48,Active
Elijhaa Penny,Elijhaa Penny,RB,NYG,7.92,3.3,0,50.9,3.588,0.18,1.872,0.342,0.801,0,0,2700,0,0,0,3.6,0,0,0.49,Active
Jonathan Williams,Jonathan Williams,RB,IND,5.4,0,0,50,3.75,0.504,1.5,0.09,0.9,0,0,2700,0,0,0,3.6,0,0,0.38,Active
C.J. Prosise,C.J. Prosise,RB,SEA,5.4,0,0,50,3.75,0.693,1.5,0.117,0.9,0,0,2700,0,0,0,3.6,0,0,0.44,Active
Benny Snell Jr.,Benny Snell Jr.,RB,PIT,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.34,Active
Dwayne Washington,Dwayne Washington,RB,NO,3.15,0,0,50,3.75,0,1.5,0,0,0,0,2700,0,3.69,12.42,3.6,0,0,0.33,Active
Paul Perkins,Paul Perkins,RB,NYG,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.35,Active
Myles Gaskin,Myles Gaskin,RB,MIA,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.32,Active
Damien Harris,Damien Harris,RB,NE,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.27,Active
T.J. Logan,T.J. Logan,RB,TB,1.89,0,0,50,3.75,0.774,1.854,0.351,0.9,0,0,0,0,0,0,3.6,0,0,0.38,Active
Austin Carr,Austin Carr,WR,NO,17.64,0,4.5,27,3.75,0.504,1.5,0.072,0.621,0.05,0,2700,0,0,6.57,3.6,0,0,0.33,Active
Dan Vitale,Dan Vitale,RB,GB,3.42,0,0,50,3.75,0,1.5,0,0,0,0,0,0,0,0,3.6,0,0,0.27,Active
Dexter Williams,Dexter Williams,RB,GB,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.23,Active
Ross Dwelley,Ross Dwelley,TE,SF,3.15,0,0,50,3.75,0.324,1.5,0.126,0.9,0,0,2250,0,0,0,3.6,0,0,0.31,Active
Brian Hill,Brian Hill,RB,ATL,5.94,0,0,50,7.44,0.378,1.5,0.063,0.45,0,0,0,0,0,0,3.6,0,0,0.27,Active
Alan Cross,Alan Cross,TE,TB,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.32,Active
Damion Ratley,Damion Ratley,WR,CLE,12.15,0,10.5,24.6,3.75,0.621,1.5,0.162,0.685,0,0,0,0,2.79,12.78,3.6,0,0,0.3,Active
Tyler Ervin,Tyler Ervin,RB,JAC,7.74,0,0,50,3.75,0.432,1.5,0.072,0.9,0,0,2700,0,1.26,5.94,3.6,0,0,0.36,Active
Darwin Thompson,Darwin Thompson,RB,KC,30,0,5,50.3,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.35,Active
Tre Madden,Tre Madden,RB,SEA,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.18,Active
Mike Thomas,Mike Thomas,WR,LAR,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.25,Active
Levine Toilolo,Levine Toilolo,TE,SF,29.61,0,4.5,44.1,3.75,0.306,1.5,0.117,0.792,0.04,0,2250,0,0.162,9.126,3.6,0,0,0.26,Active
Eric Tomlinson,Eric Tomlinson,TE,NYG,21.15,0,3.6,33.3,3.75,0.243,1.5,0.126,0.558,0,0,2250,0,0,5.67,3.6,0,0,0.25,Active
Nick Bellore,Nick Bellore,RB,SEA,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.15,Active
Jamize Olawale,Jamize Olawale,RB,DAL,6.39,0,0,50,3.75,0.261,1.5,0.121,0.45,0,0,2700,0,0,0,3.6,0,0,0.12,Active
Tim Patrick,Tim Patrick,WR,DEN,22.14,0.9,9,32.4,5.478,0.558,1.5,0.144,0.522,0.05,0,2700,0,1.215,12.645,3.6,0,0,0.08,Active
Deonte Harris,Deonte Harris,WR,NO,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.09,Active
Taiwan Jones,Taiwan Jones,RB,HOU,0.27,0,0,50,3.75,0.9,1.5,0.9,0,0,0,2700,0,0,0,3.6,0,0,0.11,Active
Cullen Gillaspia,Cullen Gillaspia,RB,HOU,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.05,Active
J.J. Jones,J.J. Jones,WR,NYJ,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.09,Active
Golden Tate,Golden Tate,WR,NYG,36.36,0.9,17.1,55.8,8.025,0.594,1.782,0.234,0.63,0.15,0,4050,0,5.031,23.211,3.6,0,0,0.01,Active
Gunner Olszewski,Gunner Olszewski,WR,NE,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
J.P. Holtz,J.P. Holtz,TE,WAS,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Pharaoh Brown,Pharaoh Brown,TE,CLE,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Sims,Steven Sims,WR,WAS,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Braxton Berrios,Braxton Berrios,WR,NYJ,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.51,Active
Gary Jennings Jr.,Gary Jennings Jr.,WR,SEA,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Jones,Daniel Jones,QB,NYG,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne Haskins,Dwayne Haskins,QB,WAS,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
N'Keal Harry,N'Keal Harry,WR,NE,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Lacy,Chris Lacy,WR,DET,31.5,0,2.7,43.2,3.75,0.306,1.5,0.072,0,0,0,2700,0,0,0,3.6,0,0,0,0
Johnny Mundt,Johnny Mundt,TE,LAR,3.6,0,0,50,3.75,0.045,2.25,0.45,0.9,0,0,2250,0,0,0,3.6,0,0,0,0
Garrett Gilbert,Garrett Gilbert,QB,CLE,11.7,0,0,16.2,3.75,0,1.5,0,0,0,0,0,0,0,0,3.6,0,0,0,0
Kyle Allen,Kyle Allen,QB,CAR,30.6,6.3,0,37.8,3.75,0,1.5,0,0,0,0,0,0,0,0,3.6,0,0,0,0
Kyle Lauletta,Kyle Lauletta,QB,PHI,8.55,0,0,50,3.75,0,1.5,0,0,0,0,0,0,0,0,3.6,0,0,0,0
Lance Lenoir,Lance Lenoir,WR,DAL,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Mullens,Nick Mullens,QB,SF,58.41,2.7,0,90,3.75,0,1.5,0,0,0,0,3870,0,7.371,21.528,3.6,0,0,0,0
Chad Kelly,Chad Kelly,QB,IND,0.9,0,0,50,3.75,0,1.5,0,0,0,0,3600,0,0,0,3.6,0,0,0,0
Joshua Dobbs,Joshua Dobbs,QB,JAC,5.4,0,0,50,3.75,0,1.5,0,0,0,0,0,0,0,0,3.6,0,0,0,0
Chris Herndon,Chris Herndon,TE,NYJ,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Tremon Smith,Tremon Smith,RB,KC,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
David Moore,David Moore,WR,SEA,34.92,0,7.2,52.2,4.875,0.468,1.5,0.144,0.468,0.14,0,2880,0,0.513,18.54,3.6,0,0,0,0
Antonio Callaway,Antonio Callaway,WR,CLE,43.11,0,9,63,3.525,0.576,1.5,0.144,0.495,0.16,0,0,0,1.872,14.967,3.6,0,0,0,0
Derrius Guice,Derrius Guice,RB,WAS,30,4.3,1.3,53.6,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Rosen,Josh Rosen,QB,MIA,50.22,2.7,0,83.7,3.75,0,1.5,0,0,0,0,4140,0,3.699,13.563,3.6,0,0,0,0
Nate Sudfeld,Nate Sudfeld,QB,PHI,4.95,0,0,50,3.75,0,1.5,0,0,0,0,0,0,0,0,3.6,0,0,0,0
Cooper Rush,Cooper Rush,QB,DAL,5.4,0,0,50,3.75,0,1.5,0,0,0,0,3870,0,0,0,3.6,0,0,0,0
C.J. Beathard,C.J. Beathard,QB,SF,51.03,5.4,0,69.3,3.75,0,1.5,0,0,0,0,3600,0,7.776,20.574,3.6,0,0,0,0
DeShone Kizer,DeShone Kizer,QB,OAK,18.63,7.2,0,33.3,3.75,0,1.5,0,0,0,0,3600,0,2.376,21.006,3.6,0,0,0,0
Kareem Hunt,Kareem Hunt,RB,CLE,41.13,32.4,6.3,63.9,4.47,0.45,1.5,0.117,0.711,0.23,0.7,0,0,7.713,32.49,3.6,0,0,0,0
Brett Hundley,Brett Hundley,QB,ARI,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
David Morgan,David Morgan,TE,MIN,18.9,0,2.7,27.9,3.75,0.153,1.5,0.135,0.747,0,0,0,0,1.53,6.12,3.6,0,0,0,0
Tyreek Hill,Tyreek Hill,WR,KC,50.94,2.6,15,80.2,6.674,0.576,2.515,0.227,0.703,0.22,0.06,6570,0,6.903,32.112,3.6,0,0,0,0
Trevor Siemian,Trevor Siemian,QB,NYJ,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Mannion,Sean Mannion,QB,MIN,10.8,17.1,0,16.2,3.75,0,1.5,0,0,0,0,3600,0,0,0,3.6,0,0,0,0
Roosevelt Nix,Roosevelt Nix,RB,PIT,6.21,0,0,50,3.975,0.18,1.557,0.207,0.72,0,0,2700,0,0,0,3.6,0,0,0,0
A.J. McCarron,A.J. McCarron,QB,HOU,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Gordon,Melvin Gordon,RB,LAC,39.33,29.7,11.7,62.1,4.929,0.414,1.827,0.225,0.738,0.12,0.57,6570,0,7.704,28.872,3.6,0,0,0,0
Tevin Coleman,Tevin Coleman,RB,SF,32.67,29.3,8.8,52.3,4.694,0.459,1.68,0.156,0.787,0.17,0.6,4320,0,4.014,19.791,3.6,0,0,0,0
Austin Davis,Austin Davis,QB,SEA,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy Bridgewater,Teddy Bridgewater,QB,NO,12.78,13.5,0,21.6,3.75,0,1.5,0,0,0,0,3960,0,2.808,21.492,3.6,0,0,0,0
Blake Bortles,Blake Bortles,QB,LAR,53.82,6.3,0,81,3.75,0,1.5,0,0,0,0,3960,0,6.57,26.19,3.6,0,0,0,0
Spencer Ware,Spencer Ware,RB,IND,17.1,18.9,8.1,25.2,4.713,0.513,1.5,0.135,0.819,0,0.14,0,0,10.26,24.255,3.6,0,0,0,0
Matt Barkley,Matt Barkley,QB,BUF,65.7,3.6,0,90,3.75,0,1.5,0,0,0,0,3870,0,2.853,18.954,3.6,0,0,0,0
Mike Glennon,Mike Glennon,QB,OAK,11.7,0,0,18.9,3.75,0,1.5,0,0,0,0,3600,0,5.796,12.636,3.6,0,0,0,0
Geno Smith,Geno Smith,QB,SEA,5.76,0,0,50,3.75,0,1.5,0,0,0,0,3600,0,10.602,18,3.6,0,0,0,0
Alex Tanney,Alex Tanney,QB,NYG,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Tannehill,Ryan Tannehill,QB,TEN,47.43,5.4,0,87.3,3.75,0,1.5,0.45,0.9,0,0,3870,0,6.309,22.716,3.6,0,0,0,0
Robert Griffin III,Robert Griffin III,QB,BAL,30,0,0,50,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrod Taylor,Tyrod Taylor,QB,LAC,41.67,8.1,0,54.9,3.75,0,1.5,0,0,0,0,3780,0,7.605,23.526,3.6,0,0,0,0
Blaine Gabbert,Blaine Gabbert,QB,TB,23.76,2.7,0,36,3.75,0,1.5,0,0,0,0,0,0,5.454,18.567,3.6,0,0,0,0
A.J. Green,A.J. Green,WR,CIN,45.72,0,15.3,71.1,3.75,0.567,2.151,0.243,0.54,0.2,0,6390,0,7.155,29.232,3.6,0,0,0,0
Joe Webb,Joe Webb,QB,HOU,1.98,0,0,50,3.75,0,1.5,0,0,0,0,0,0,1.89,2.97,3.6,0,0,0,0
Chase Daniel,Chase Daniel,QB,CHI,26.64,8.1,0.9,37.8,3.75,0.018,2.403,0.297,0.9,0,0,3870,0,10.62,17.46,3.6,0,0,0,0
